from,to,value
Flare,Luna,10.96
Fubuki,Luna,5.92
Haato,Luna,14.95
Hajime,Luna,9.96
Iroha,Luna,5.57
Kanade,Luna,8.51
Kanata,Luna,12.94
Korone,Luna,9.17
Koyori,Luna,7.13
Lamy,Luna,8.86
Laplus,Luna,9.57
Lui,Luna,7.42
Marine,Luna,5.66
Matsuri,Luna,12
Miko,Luna,5.57
Mio,Luna,8.42
Nene,Luna,11.54
Niko,Luna,7.62
Noel,Luna,6.33
Okayu,Luna,7.19
Pekora,Luna,5.45
Polka,Luna,9.92
Raden,Luna,5.64
Riona,Luna,7.94
Ririka,Luna,11.02
Roboco,Luna,15.75
Shion,Luna,10.04
Sora,Luna,12.13
Su,Luna,8.09
Subaru,Luna,6.59
Suisei,Luna,5.81
Towa,Luna,6.92
Vivi,Luna,8.22
Watame,Luna,9.17
Aki,Marine,18.02
Ao,Marine,31.73
Ayame,Marine,25.32
AZki,Marine,24.74
Botan,Marine,23.03
Chihaya,Marine,20.13
Chloe,Marine,23.11
Choco,Marine,27.92
Flare,Marine,29.9
Fubuki,Marine,20.72
Haato,Marine,24.18
Hajime,Marine,22.75
Iroha,Marine,22.73
Kanade,Marine,23.39
Kanata,Marine,30.73
Korone,Marine,23.93
Koyori,Marine,28
Lamy,Marine,32.47
Laplus,Marine,21.68
Lui,Marine,26.2
Luna,Marine,22.41
Matsuri,Marine,32.62
Miko,Marine,19.39
Mio,Marine,27.32
Nene,Marine,27.7
Niko,Marine,24.04
Noel,Marine,48.56
Okayu,Marine,31.63
Pekora,Marine,29.62
Polka,Marine,25.47
Raden,Marine,20.38
Riona,Marine,22.94
Ririka,Marine,29.96
Roboco,Marine,24.76
Shion,Marine,29.36
Sora,Marine,21.59
Su,Marine,22.21
Subaru,Marine,21.44
Suisei,Marine,28.01
Towa,Marine,27.08
Vivi,Marine,22.92
Watame,Marine,20.81
Aki,Matsuri,13.36
Ao,Matsuri,14.22
Ayame,Matsuri,14.36
AZki,Matsuri,12.31
Botan,Matsuri,13.43
Chihaya,Matsuri,11.63
Chloe,Matsuri,14.7
Choco,Matsuri,23.74
Flare,Matsuri,15.16
Fubuki,Matsuri,11.66
Haato,Matsuri,17.4
Hajime,Matsuri,15.55
Iroha,Matsuri,15.43
Kanade,Matsuri,14.25
Kanata,Matsuri,15.05
Korone,Matsuri,10.69
Koyori,Matsuri,11.14
Lamy,Matsuri,13.73
Laplus,Matsuri,16.29
Lui,Matsuri,13.82
Luna,Matsuri,14.2
Marine,Matsuri,9.74
Miko,Matsuri,7.96
Mio,Matsuri,14.98
Nene,Matsuri,17.76
Niko,Matsuri,13.2
Noel,Matsuri,9.38
Okayu,Matsuri,11.76
Pekora,Matsuri,6.84
Polka,Matsuri,15.7
Raden,Matsuri,11.65
Riona,Matsuri,14.07
Ririka,Matsuri,18.23
Roboco,Matsuri,24.85
Shion,Matsuri,13.73
Sora,Matsuri,15.6
Su,Matsuri,14.25
Subaru,Matsuri,8.97
Suisei,Matsuri,12.88
Towa,Matsuri,15.66
Vivi,Matsuri,12.67
Watame,Matsuri,12.99
Aki,Miko,28.08
Ao,Miko,40.62
Ayame,Miko,31.53
AZki,Miko,35.5
Botan,Miko,32.79
Chihaya,Miko,31.55
Chloe,Miko,27.44
Choco,Miko,35.06
Flare,Miko,35.49
Fubuki,Miko,43.45
Haato,Miko,34.97
Hajime,Miko,38.51
Iroha,Miko,34.32
Kanade,Miko,40.25
Kanata,Miko,38.95
Korone,Miko,52.27
Koyori,Miko,34.07
Lamy,Miko,39.98
Laplus,Miko,31.25
Lui,Miko,40.26
Luna,Miko,38.71
Marine,Miko,34.05
Matsuri,Miko,46.79
Mio,Miko,44.3
Nene,Miko,44.99
Niko,Miko,38.61
Noel,Miko,34.19
Okayu,Miko,39.86
Pekora,Miko,30.07
Polka,Miko,38.58
Raden,Miko,26.14
Riona,Miko,37.99
Ririka,Miko,40.34
Roboco,Miko,39.02
Shion,Miko,39.07
Sora,Miko,33.88
Su,Miko,37.94
Subaru,Miko,42.81
Suisei,Miko,47.38
Towa,Miko,40.81
Vivi,Miko,38.65
Watame,Miko,38.03
Aki,Mio,17.08
Ao,Mio,22.19
Ayame,Mio,28.17
AZki,Mio,29.56
Botan,Mio,27.25
Chihaya,Mio,21.07
Chloe,Mio,22.97
Choco,Mio,31.49
Flare,Mio,31.96
Fubuki,Mio,30.49
Haato,Mio,24.16
Hajime,Mio,21.79
Iroha,Mio,27.47
Kanade,Mio,21.96
Kanata,Mio,27.72
Korone,Mio,28.31
Koyori,Mio,23.69
Lamy,Mio,29.92
Laplus,Mio,21.32
Lui,Mio,27.82
Luna,Mio,23.81
Marine,Mio,19.51
Matsuri,Mio,35.83
Miko,Mio,18.02
Nene,Mio,27.48
Niko,Mio,24.3
Noel,Mio,20.24
Okayu,Mio,31.95
Pekora,Mio,14.18
Polka,Mio,34.26
Raden,Mio,19.31
Riona,Mio,22.11
Ririka,Mio,28.33
Roboco,Mio,32.63
Shion,Mio,26.74
Sora,Mio,28.96
Su,Mio,21.82
Subaru,Mio,21.46
Suisei,Mio,23.13
Towa,Mio,28.94
Vivi,Mio,21.39
Watame,Mio,25.91
Aki,Nene,10.78
Ao,Nene,15.23
Ayame,Nene,15.61
AZki,Nene,14.34
Botan,Nene,22.96
Chihaya,Nene,11.8
Chloe,Nene,14.25
Choco,Nene,33.83
Flare,Nene,18.69
Fubuki,Nene,12.35
Haato,Nene,19.37
Hajime,Nene,16.26
Iroha,Nene,13.54
Kanade,Nene,18.01
Kanata,Nene,19.91
Korone,Nene,16.05
Koyori,Nene,12.64
