from,to,value
Aruran,Iofi,4.49
Astel,Iofi,4.7
Ayame,Iofi,2.36
AZki,Iofi,8.07
Baelz,Iofi,3.11
Botan,Iofi,3.22
Calli,Iofi,1.98
Choco,Iofi,5.37
Fauna,Iofi,2.74
Flare,Iofi,2.8
Fubuki,Iofi,3.27
Gura,Iofi,1.95
Haato,Iofi,5.21
Ina,Iofi,2.73
IRyS,Iofi,3.67
Izuru,Iofi,3.21
Kanata,Iofi,2.42
Kiara,Iofi,2.95
Korone,Iofi,2.42
Kronii,Iofi,2.35
Lamy,Iofi,2.35
Luna,Iofi,3.92
Marine,Iofi,2
Matsuri,Iofi,4.91
Mel,Iofi,6.1
Miko,Iofi,2.04
Mio,Iofi,3.36
Miyabi,Iofi,2.71
Moona,Iofi,18.26
Mumei,Iofi,2.73
Nene,Iofi,3.33
Noel,Iofi,2.16
Oga,Iofi,10.08
Okayu,Iofi,2.24
Ollie,Iofi,11.5
Pekora,Iofi,1.94
Polka,Iofi,3.98
Reine,Iofi,15.33
Rikka,Iofi,4.18
Risu,Iofi,32.55
Roberu,Iofi,2.94
Roboco,Iofi,4.95
Rushia,Iofi,1.9
Sana,Iofi,3.55
Shien,Iofi,3.27
Shion,Iofi,2.31
Sora,Iofi,6.12
Subaru,Iofi,1.93
Suisei,Iofi,2.34
Temma,Iofi,3.87
Towa,Iofi,4.01
Watame,Iofi,2.99
Aki,IRyS,20.32
Amelia,IRyS,35.45
Anya,IRyS,27.62
Aqua,IRyS,9.22
Aruran,IRyS,11.17
Astel,IRyS,11.89
Ayame,IRyS,8.05
AZki,IRyS,26.96
Baelz,IRyS,37.1
Botan,IRyS,13.77
Calli,IRyS,32.42
Choco,IRyS,17.12
