from,to,value
Towa,Pekora,27.22
Watame,Pekora,25.05
Aki,Polka,28.16
Aqua,Polka,9.36
AZki,Polka,19.44
Botan,Polka,16.69
Chloe,Polka,12.68
Choco,Polka,22.07
Flare,Polka,20.45
Fubuki,Polka,12.43
Haato,Polka,15.51
Iroha,Polka,12.45
Kanata,Polka,10.54
Korone,Polka,10.45
Koyori,Polka,11.34
Lamy,Polka,17.06
Laplus,Polka,13.05
Lui,Polka,13.91
Luna,Polka,16.29
Marine,Polka,11
Matsuri,Polka,15.89
Mel,Polka,18.34
Miko,Polka,9.06
Mio,Polka,15.25
Nene,Polka,20.25
Noel,Polka,12.12
Okayu,Polka,12.42
Pekora,Polka,9.09
Roboco,Polka,18.31
Shion,Polka,11.88
Sora,Polka,15.89
Subaru,Polka,9.07
Suisei,Polka,11.77
Towa,Polka,12.44
Watame,Polka,11.67
Aki,Roboco,9
Aqua,Roboco,3.89
AZki,Roboco,11.76
Botan,Roboco,5.52
Chloe,Roboco,4.22
Choco,Roboco,8.55
Flare,Roboco,4.41
Fubuki,Roboco,4.26
Haato,Roboco,6.36
Iroha,Roboco,4.37
Kanata,Roboco,3.51
Korone,Roboco,3.74
Koyori,Roboco,3.24
Lamy,Roboco,4.9
Laplus,Roboco,4.13
Lui,Roboco,4.56
Luna,Roboco,4.96
Marine,Roboco,3.4
Matsuri,Roboco,5.61
Mel,Roboco,11.22
Miko,Roboco,2.83
Mio,Roboco,5.87
Nene,Roboco,5.87
Noel,Roboco,4.13
Okayu,Roboco,4.77
Pekora,Roboco,2.46
Polka,Roboco,5.83
Shion,Roboco,3.96
Sora,Roboco,8.79
Subaru,Roboco,2.71
Suisei,Roboco,4.07
Towa,Roboco,6.05
Watame,Roboco,3.87
Aki,Shion,11.52
Aqua,Shion,26.71
AZki,Shion,16.62
Botan,Shion,9.48
Chloe,Shion,13.98
Choco,Shion,17.1
Flare,Shion,9.97
Fubuki,Shion,9.39
Haato,Shion,15.02
Iroha,Shion,9.72
Kanata,Shion,16.93
Korone,Shion,10.59
Koyori,Shion,9.59
Lamy,Shion,17.91
Laplus,Shion,14.24
Lui,Shion,10.4
Luna,Shion,12.62
Marine,Shion,17.92
Matsuri,Shion,12.23
Mel,Shion,16.83
Miko,Shion,8.75
Mio,Shion,13.12
Nene,Shion,13.25
Noel,Shion,11.51
Okayu,Shion,11.9
Pekora,Shion,10.98
Polka,Shion,10.37
Roboco,Shion,10.86
Sora,Shion,9.34
Subaru,Shion,9.28
Suisei,Shion,12.02
Towa,Shion,11.93
Watame,Shion,7.74
Aki,Sora,19.47
Aqua,Sora,11.25
AZki,Sora,37.6
Botan,Sora,10.3
Chloe,Sora,7.87
Choco,Sora,15.98
Flare,Sora,12.38
Fubuki,Sora,9.65
Haato,Sora,14.6
Iroha,Sora,11.67
Kanata,Sora,7.67
Korone,Sora,6.98
Koyori,Sora,7.98
Lamy,Sora,11.15
Laplus,Sora,7.63
Lui,Sora,9.39
Luna,Sora,11.15
Marine,Sora,8.47
Matsuri,Sora,12.6
Mel,Sora,23.28
Miko,Sora,7.49
Mio,Sora,12.72
Nene,Sora,13.59
Noel,Sora,9.05
Okayu,Sora,9.32
Pekora,Sora,6.56
Polka,Sora,13.13
Roboco,Sora,22.81
Shion,Sora,8.84
Subaru,Sora,6.42
Suisei,Sora,11.23
Towa,Sora,12.09
Watame,Sora,10.04
Aki,Subaru,29.21
Aqua,Subaru,27.76
AZki,Subaru,29.67
Botan,Subaru,27.3
Chloe,Subaru,26.4
Choco,Subaru,35.11
Flare,Subaru,24.37
Fubuki,Subaru,26.98
Haato,Subaru,30.16
Iroha,Subaru,24.87
Kanata,Subaru,27.48
Korone,Subaru,31.8
Koyori,Subaru,26.86
Lamy,Subaru,26.69
Laplus,Subaru,26.6
Lui,Subaru,26.94
Luna,Subaru,33.67
Marine,Subaru,31.01
Matsuri,Subaru,28.89
Mel,Subaru,28.89
Miko,Subaru,26.22
Mio,Subaru,39.83
Nene,Subaru,27.52
Noel,Subaru,31.75
Okayu,Subaru,36.16
Pekora,Subaru,25.17
Polka,Subaru,29.36
Roboco,Subaru,27.52
Shion,Subaru,34.4
Sora,Subaru,25.14
Suisei,Subaru,24.97
Towa,Subaru,25.48
Watame,Subaru,20.64
Aki,Suisei,15.53
Aqua,Suisei,17.14
AZki,Suisei,31.97
Botan,Suisei,15.9
Chloe,Suisei,15.11
Choco,Suisei,18.5
Flare,Suisei,17.16
Fubuki,Suisei,16.81
Haato,Suisei,17.26
Iroha,Suisei,15.82
Kanata,Suisei,15.97
Korone,Suisei,11.2
Koyori,Suisei,13.07
Lamy,Suisei,19.09
Laplus,Suisei,16.95
Lui,Suisei,13.45
Luna,Suisei,14.03
Marine,Suisei,16.64
Matsuri,Suisei,20.05
Mel,Suisei,24.62
Miko,Suisei,15.73
Mio,Suisei,19.18
Nene,Suisei,18.73
Noel,Suisei,12.2
Okayu,Suisei,14.06
Pekora,Suisei,12.4
Polka,Suisei,16.06
Roboco,Suisei,17.43
Shion,Suisei,18.8
Sora,Suisei,18.55
Subaru,Suisei,10.53
Towa,Suisei,19.88
Watame,Suisei,11.98
Aki,Towa,15.77
Aqua,Towa,15.77
AZki,Towa,22.51
Botan,Towa,15.75
Chloe,Towa,13.12
Choco,Towa,17.03
Flare,Towa,13.37
Fubuki,Towa,12.29
Haato,Towa,15.14
Iroha,Towa,13.4
Kanata,Towa,14.7
Korone,Towa,9.31
Koyori,Towa,10.47
Lamy,Towa,16.72
Laplus,Towa,14.97
Lui,Towa,13.07
Luna,Towa,15.09
Marine,Towa,11.24
Matsuri,Towa,17.96
Mel,Towa,24.96
Miko,Towa,9.27
