from,to,value
Towa,Noel,20.16
Watame,Noel,22.16
Aki,Okayu,2.83
Ao,Okayu,4.18
Aqua,Okayu,2.39
Ayame,Okayu,4.6
AZki,Okayu,5.42
Botan,Okayu,5.09
Chloe,Okayu,4.4
Choco,Okayu,4.6
Flare,Okayu,5.17
Fubuki,Okayu,4.2
Hajime,Okayu,3.93
Iroha,Okayu,5.44
Kanade,Okayu,2.97
Kanata,Okayu,4.34
Korone,Okayu,4.38
Koyori,Okayu,2.94
Lamy,Okayu,4.05
Laplus,Okayu,5.89
Lui,Okayu,3.88
Luna,Okayu,4.22
Marine,Okayu,3.19
Matsuri,Okayu,4.26
Mel,Okayu,5.41
Miko,Okayu,2.74
Mio,Okayu,6.71
Nene,Okayu,4.16
Noel,Okayu,4.22
Pekora,Okayu,2.15
Polka,Okayu,5.44
Raden,Okayu,3.1
Ririka,Okayu,3.27
Roboco,Okayu,7.64
Shion,Okayu,4.94
Sora,Okayu,4.38
Subaru,Okayu,3.35
Suisei,Okayu,3.26
Towa,Okayu,4.03
Watame,Okayu,3.94
Aki,Pekora,35.27
Ao,Pekora,44.1
Aqua,Pekora,35.28
Ayame,Pekora,32.91
AZki,Pekora,49.19
Botan,Pekora,50.75
Chloe,Pekora,47.23
